"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"Claremont McKenna College","California","CA","Private","4 Year",16.705,54.405,71110,54405,71110
"Clarendon College","Texas","TX","Public","2 Year",4.176,5.25,9426,7560,11736
"Clarion University of Pennsylvania","Pennsylvania","PA","Public","4 Year",12.67,11.175,23845,15033,27703
"Clark Atlanta University","Georgia","GA","Private","4 Year",9.524,23.436,32960,23436,32960
"Clark University","Massachusetts","MA","Private","4 Year",9.17,45.73,54900,45730,54900
"Clarke University","Iowa","IA","Private","4 Year",9.6,33.35,42950,33350,42950
"Clarks Summit University","Pennsylvania","PA","Private","4 Year",6.32,23.89,30210,23890,30210
"Clarkson College","Nebraska","NE","Private","4 Year",5.398,16.92,22318,16920,22318
"Clarkson University","New York","NY","Private","4 Year",14.908,49.444,64352,49444,64352
"Clayton State University","Georgia","GA","Public","4 Year",9.994,6.41,16404,19486,29480
"Clear Creek Baptist Bible College","Kentucky","KY","Private","4 Year",4.16,9.44,13600,9440,13600
"Cleary University","Michigan","MI","Private","4 Year",9.6,20.25,29850,20250,29850
"Clemson University","South Carolina","SC","Public","4 Year",10.832,14.97,25802,36724,47556
"Cleveland Institute of Art","Ohio","OH","Private","4 Year",14.386,42.055,56441,42055,56441
"Cleveland Institute of Music","Ohio","OH","Private","4 Year",15.048,41.987,57035,41987,57035
"Cleveland State University","Ohio","OH","Public","4 Year",13.56,10.625,24185,14992,28552
"Clinton College","South Carolina","SC","Private","2 Year",9.551,10.02,19571,10020,19571
"Clinton Community College","New York","NY","Public","2 Year",10.5,6.09,16590,11096,21596
"Cloud County Community College","Kansas","KS","Public","2 Year",5.9,3.03,8930,3470,9370
"Coahoma Community College","Mississippi","MS","Public","2 Year",4.42,2.996,7416,3446,7866
"Coastal Alabama Community College","Alabama","AL","Public","2 Year",5.8,4.74,10540,8610,14410
"Coastal Bend College","Texas","TX","Public","2 Year",5.1,2.646,7746,4956,10056
"Coastal Carolina University","South Carolina","SC","Public","4 Year",9.19,11.536,20726,26648,35838
"Cochise College","Arizona","AZ","Public","2 Year",7.272,2.55,9822,7800,15072
"Coe College","Iowa","IA","Private","4 Year",9.48,45,54480,45000,54480
"Coffeyville Community College","Kansas","KS","Public","2 Year",6.18,2.16,8340,3630,9810
"Cogswell Polytechnical College","California","CA","For Profit","4 Year",11,20.056,31056,20056,31056
"Coker College","South Carolina","SC","Private","4 Year",9.09,29.328,38418,29328,38418
"Colby College","Maine","ME","Private","4 Year",14.19,55.21,69400,55210,69400
"Colby Community College","Kansas","KS","Public","2 Year",3.704,3.616,7320,5504,9208
"Colby-Sawyer College","New Hampshire","NH","Private","4 Year",14.264,42.398,56662,42398,56662
"Colgate University","New York","NY","Private","4 Year",13.995,55.87,69865,55870,69865
"College for Creative Studies","Michigan","MI","Private","4 Year",8.8,44.11,52910,44110,52910
"College of Charleston","South Carolina","SC","Public","4 Year",12.166,12.738,24904,31920,44086
"College of Coastal Georgia","Georgia","GA","Public","4 Year",9.52,3.971,13491,10578,20098
"College of Idaho","Idaho","ID","Private","4 Year",9.697,30.155,39852,30155,39852
"College of Mount St. Vincent","New York","NY","Private","4 Year",10.5,38.18,48680,38180,48680
"College of New Rochelle","New York","NY","Private","4 Year",14.592,37.76,52352,37760,52352
"College of Saint Mary","Nebraska","NE","Private","4 Year",7.7,20.35,28050,20350,28050
"College of Saint Rose","New York","NY","Private","4 Year",12.714,32.574,45288,32574,45288
"College of Southern Idaho","Idaho","ID","Public","2 Year",5.75,4.2,9950,8550,14300
"College of St. Benedict","Minnesota","MN","Private","4 Year",10.904,45.264,56168,45264,56168
"College of St. Elizabeth","New Jersey","NJ","Private","4 Year",12.744,33.613,46357,33613,46357
"College of St. Joseph in Vermont","Vermont","VT","Private","4 Year",12,18.52,30520,18520,30520
"College of St. Scholastica","Minnesota","MN","Private","4 Year",9.71,37.212,46922,37212,46922
"College of the Atlantic","Maine","ME","Private","4 Year",9.747,43.542,53289,43542,53289
"College of the Holy Cross","Massachusetts","MA","Private","4 Year",14.52,52.77,67290,52770,67290
