"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"University of North Carolina at Pembroke","North Carolina","NC","Public","4 Year",8.924,3.418,12342,7418,16342
"University of North Carolina at Wilmington","North Carolina","NC","Public","4 Year",10.686,7,17686,21065,31751
"University of North Carolina School of the Arts","North Carolina","NC","Public","4 Year",9.021,9.358,18379,25501,34522
"University of North Dakota","North Dakota","ND","Public","4 Year",8.974,8.695,17669,20759,29733
"University of North Florida","Florida","FL","Public","4 Year",9.976,6.394,16370,20112,30088
"University of North Georgia","Georgia","GA","Public","4 Year",7.876,7.336,15212,21148,29024
"University of North Texas","Texas","TX","Public","4 Year",9.727,11.25,20977,23700,33427
"University of Northern Colorado","Colorado","CO","Public","4 Year",11.204,9.786,20990,21474,32678
"University of Northern Iowa","Iowa","IA","Public","4 Year",8.948,8.938,17886,19480,28428
"University of Northwestern - St. Paul","Minnesota","MN","Private","4 Year",9.46,31.54,41000,31540,41000
"University of Northwestern Ohio","Ohio","OH","Private","4 Year",2.85,10.65,13500,10650,13500
"University of Notre Dame","Indiana","IN","Private","4 Year",15.41,53.391,68801,53391,68801
"University of Oklahoma","Oklahoma","OK","Public","4 Year",10.994,11.763,22757,27144,38138
"University of Oregon","Oregon","OR","Public","4 Year",12.963,11.898,24861,35478,48441
"University of Pennsylvania","Pennsylvania","PA","Private","4 Year",15.616,55.584,71200,55584,71200
"University of Pikeville","Kentucky","KY","Private","4 Year",7.8,20.95,28750,20950,28750
"University of Pittsburgh","Pennsylvania","PA","Public","4 Year",11.05,19.08,30130,32052,43102
"University of Pittsburgh at Bradford","Pennsylvania","PA","Public","4 Year",9.332,13.9,23232,25144,34476
"University of Pittsburgh at Johnstown","Pennsylvania","PA","Public","4 Year",9.98,13.878,23858,25122,35102
"University of Pittsburgh at Titusville","Pennsylvania","PA","Public","2 Year",10.996,11.788,22784,21532,32528
"University of Portland","Oregon","OR","Private","4 Year",13.45,45.904,59354,45904,59354
"University of Puget Sound","Washington","WA","Private","4 Year",12.54,49.776,62316,49776,62316
"University of Redlands","California","CA","Private","4 Year",14.278,49.504,63782,49504,63782
"University of Rhode Island","Rhode Island","RI","Public","4 Year",12.95,14.138,27088,30862,43812
"University of Richmond","Virginia","VA","Private","4 Year",12.25,52.61,64860,52610,64860
"University of Rio Grande","Ohio","OH","Private","4 Year",11.166,27.47,38636,27470,38636
"University of Rochester","New York","NY","Private","4 Year",15.938,53.926,69864,53926,69864
"University of Saint Francis","Indiana","IN","Private","4 Year",9.84,30.615,40455,30615,40455
"University of Saint Joseph","Connecticut","CT","Private","4 Year",11.428,39.173,50601,39173,50601
"University of San Diego","California","CA","Private","4 Year",12.98,49.358,62338,49358,62338
"University of San Francisco","California","CA","Private","4 Year",14.83,48.066,62896,48066,62896
"University of Science and Arts of Oklahoma","Oklahoma","OK","Public","4 Year",6.35,7.215,13565,17565,23915
"University of Scranton","Pennsylvania","PA","Private","4 Year",15.182,44.532,59714,44532,59714
"University of Sioux Falls","South Dakota","SD","Private","4 Year",7.35,18.28,25630,18280,25630
"University of South Alabama","Alabama","AL","Public","4 Year",7.62,9.87,17490,19740,27360
"University of South Carolina: Aiken","South Carolina","SC","Public","4 Year",7.766,10.76,18526,21218,28984
"University of South Carolina: Upstate","South Carolina","SC","Public","4 Year",9.48,11.763,21243,23265,32745
"University of South Dakota","South Dakota","SD","Public","4 Year",8.216,9.061,17277,12425,20641
"University of South Florida","Florida","FL","Public","4 Year",11.61,6.41,18020,17324,28934
"University of South Florida: Saint Petersburg","Florida","FL","Public","4 Year",11.61,5.821,17431,16735,28345
"University of Southern California","California","CA","Private","4 Year",15.395,56.225,71620,56225,71620
"University of Southern Indiana","Indiana","IN","Public","4 Year",8.838,7.97,16808,18626,27464
"University of Southern Maine","Maine","ME","Public","4 Year",9.45,9.52,18970,22780,32230
"University of Southern Mississippi","Mississippi","MS","Public","4 Year",9.857,8.734,18591,10734,20591
"University of St. Francis","Illinois","IL","Private","4 Year",9.544,32.32,41864,32320,41864
"University of St. Mary","Kansas","KS","Private","4 Year",8.14,28.81,36950,28810,36950
"University of St. Thomas","Texas","TX","Private","4 Year",9.07,33.58,42650,33580,42650
"University of St. Thomas","Minnesota","MN","Private","4 Year",10.412,42.736,53148,42736,53148
"University of Tampa","Florida","FL","Private","4 Year",10.81,29.208,40018,29208,40018
"University of Tennessee: Chattanooga","Tennessee","TN","Public","4 Year",9.05,8.664,17714,24782,33832
"University of Tennessee: Knoxville","Tennessee","TN","Public","4 Year",11.24,13.006,24246,31196,42436
"University of Tennessee: Martin","Tennessee","TN","Public","4 Year",6.164,9.512,15676,15552,21716
"University of Texas at Arlington","Texas","TX","Public","4 Year",10.302,10.25,20552,25134,35436
"University of Texas at Austin","Texas","TX","Public","4 Year",10.804,10.606,21410,37480,48284
"University of Texas at Dallas","Texas","TX","Public","4 Year",11.532,13.034,24566,36876,48408
"University of Texas at El Paso","Texas","TX","Public","4 Year",5.04,7.998,13038,22529,27569
"University of Texas at San Antonio","Texas","TX","Public","4 Year",11.578,9.9,21478,24262,35840
"University of Texas at Tyler","Texas","TX","Public","4 Year",9.502,8.292,17794,21522,31024
"University of Texas of the Permian Basin","Texas","TX","Public","4 Year",9.846,7.124,16970,19574,29420
"University Of Texas Rio Grande Valley","Texas","TX","Public","4 Year",8.124,7.813,15937,20263,28387
"University of the Arts","Pennsylvania","PA","Private","4 Year",16.322,44.78,61102,44780,61102
"University of the Cumberlands","Kentucky","KY","Private","4 Year",9,23,32000,23000,32000
"University of the Incarnate Word","Texas","TX","Private","4 Year",12.716,31.484,44200,31484,44200
"University of the Ozarks","Arkansas","AR","Private","4 Year",7.4,24.23,31630,24230,31630
"University of the Pacific","California","CA","Private","4 Year",13.65,48.04,61690,48040,61690
"University of the Sciences","Pennsylvania","PA","Private","4 Year",15.938,25,40938,25000,40938
"University of the Southwest","New Mexico","NM","Private","4 Year",8.22,16,24220,16000,24220
"University of the West","California","CA","Private","4 Year",7.764,15.44,23204,15440,23204
"University of Toledo","Ohio","OH","Public","4 Year",11.434,9.795,21229,19133,30567
"University of Tulsa","Oklahoma","OK","Private","4 Year",11.116,41.509,52625,41509,52625
"University of Utah","Utah","UT","Public","4 Year",10.262,9.222,19484,29215,39477
"University of Valley Forge","Pennsylvania","PA","Private","4 Year",9.886,21.238,31124,21238,31124
"University of Vermont","Vermont","VT","Public","4 Year",12.462,18.276,30738,42516,54978
"University of Virginia","Virginia","VA","Public","4 Year",11.59,17.564,29154,48465,60055
"University of Virginia's College at Wise","Virginia","VA","Public","4 Year",10.438,10.119,20557,27176,37614
"University of Washington","Washington","WA","Public","4 Year",12.798,11.517,24315,36898,49696
"University of Washington Bothell","Washington","WA","Public","4 Year",11.877,11.138,23015,36519,48396
"University of Washington Tacoma","Washington","WA","Public","4 Year",11.028,11.361,22389,36742,47770
"University of West Alabama","Alabama","AL","Public","4 Year",8.116,10.04,18156,18490,26606
"University of West Florida","Florida","FL","Public","4 Year",9.942,6.36,16302,18628,28570
"University of West Georgia","Georgia","GA","Public","4 Year",10.918,7.292,18210,20774,31692
"University of Wisconsin-Eau Claire","Wisconsin","WI","Public","4 Year",7.813,8.82,16633,17096,24909
"University of Wisconsin-Green Bay","Wisconsin","WI","Public","4 Year",6.609,7.878,14487,15728,22337
"University of Wisconsin-La Crosse","Wisconsin","WI","Public","4 Year",6.331,9.106,15437,17924,24255
"University of Wisconsin-Madison","Wisconsin","WI","Public","4 Year",11.114,10.555,21669,36805,47919
"University of Wisconsin-Marathon County","Wisconsin","WI","Public","2 Year",5.236,5.174,10410,12746,17982
"University of Wisconsin-Marinette","Wisconsin","WI","Public","2 Year",4.743,5.145,9888,12717,17460
"University of Wisconsin-Milwaukee","Wisconsin","WI","Public","4 Year",10.728,11.084,21812,22364,33092
"University of Wisconsin-Oshkosh","Wisconsin","WI","Public","4 Year",7.448,8.82,16268,16393,23841
"University of Wisconsin-Parkside","Wisconsin","WI","Public","4 Year",8.026,7.529,15555,15518,23544
"University of Wisconsin-Platteville","Wisconsin","WI","Public","4 Year",7.58,7.571,15151,15421,23001
"University of Wisconsin-River Falls","Wisconsin","WI","Public","4 Year",6.513,7.862,14375,15435,21948
"University of Wisconsin-Stevens Point","Wisconsin","WI","Public","4 Year",7.522,8.088,15610,16355,23877
"University of Wisconsin-Stout","Wisconsin","WI","Public","4 Year",6.924,9.457,16381,17423,24347
"University of Wisconsin-Superior","Wisconsin","WI","Public","4 Year",6.792,8.126,14918,15699,22491
"University of Wisconsin-Whitewater","Wisconsin","WI","Public","4 Year",6.786,7.692,14478,16265,23051
"University of Wyoming","Wyoming","WY","Public","4 Year",10.32,5.4,15720,17490,27810
"Upper Iowa University","Iowa","IA","Private","4 Year",8.454,30.45,38904,30450,38904
"Urbana University","Ohio","OH","Private","4 Year",9.998,23.7,33698,23700,33698
"Ursinus College","Pennsylvania","PA","Private","4 Year",12.75,52.05,64800,52050,64800
"Ursuline College","Ohio","OH","Private","4 Year",10.776,32.39,43166,32390,43166
"Utah State University","Utah","UT","Public","4 Year",6.4,7.424,13824,21505,27905
"Utica College","New York","NY","Private","4 Year",11.248,21.382,32630,21382,32630
"Valdosta State University","Georgia","GA","Public","4 Year",8.11,7.476,15586,20958,29068
"Valley City State University","North Dakota","ND","Public","4 Year",6.446,7.626,14072,17166,23612
"Valley Forge Military College","Pennsylvania","PA","Private","2 Year",16.6,29.975,46575,29975,46575
"Valparaiso University","Indiana","IN","Private","4 Year",11.86,40.26,52120,40260,52120
"Vanderbilt University","Tennessee","TN","Private","4 Year",16.234,49.816,66050,49816,66050
"VanderCook College of Music","Illinois","IL","Private","4 Year",13.192,28.434,41626,28434,41626
"Vanguard University of Southern California","California","CA","Private","4 Year",10.52,33.7,44220,33700,44220
"Vassar College","New York","NY","Private","4 Year",13.55,56.96,70510,56960,70510
"Vaughn College of Aeronautics and Technology","New York","NY","Private","4 Year",14.55,25.71,40260,25710,40260
"Vermilion Community College","Minnesota","MN","Public","2 Year",6.29,5.324,11614,6506,12796
"Vermont Technical College","Vermont","VT","Public","4 Year",10.598,15.108,25706,27780,38378
"Vernon College","Texas","TX","Public","2 Year",4.096,3,7096,6300,10396
"Victor Valley College","California","CA","Public","2 Year",5.418,1.402,6820,9142,14560
"Villanova University","Pennsylvania","PA","Private","4 Year",14.02,53.308,67328,53308,67328
"Vincennes University","Indiana","IN","Public","2 Year",9.99,5.902,15892,13959,23949
"Virginia Commonwealth University","Virginia","VA","Public","4 Year",10.428,14.49,24918,35138,45566
"Virginia Military Institute","Virginia","VA","Public","4 Year",9.428,18.862,28290,45706,55134
"Virginia Polytechnic Institute and State University","Virginia","VA","Public","4 Year",8.934,13.62,22554,31304,40238
"Virginia State University","Virginia","VA","Public","4 Year",11.208,9.056,20264,19576,30784
"Virginia Union University","Virginia","VA","Private","4 Year",8.598,17.448,26046,17448,26046
"Virginia University of Lynchburg","Virginia","VA","Private","4 Year",9.4,9,18400,9000,18400
"Virginia Wesleyan University","Virginia","VA","Private","4 Year",9.256,36.66,45916,36660,45916
"Visible Music College","Tennessee","TN","Private","4 Year",6,19.5,25500,19500,25500
"Viterbo University","Wisconsin","WI","Private","4 Year",9.06,27.97,37030,27970,37030
"Voorhees College","South Carolina","SC","Private","4 Year",7.346,12.63,19976,12630,19976
"W.L. Bonner Bible College","South Carolina","SC","Private","4 Year",2.576,8.868,11444,8868,11444
"Wabash College","Indiana","IN","Private","4 Year",10.05,43.45,53500,43450,53500
"Wagner College","New York","NY","Private","4 Year",14.124,47.09,61214,47090,61214
"Wake Forest University","North Carolina","NC","Private","4 Year",16.032,53.322,69354,53322,69354
"Waldorf University","Iowa","IA","Private","4 Year",7.524,22.076,29600,22076,29600
"Walla Walla University","Washington","WA","Private","4 Year",4.275,28.035,32310,28035,32310
"Wallace State Community College at Hanceville","Alabama","AL","Public","2 Year",4.6,4.74,9340,8610,13210
"Walsh University","Ohio","OH","Private","4 Year",10.68,29.98,40660,29980,40660
"Warner Pacific University","Oregon","OR","Private","4 Year",9.63,18.74,28370,18740,28370
"Warner University","Florida","FL","Private","4 Year",8.52,21.84,30360,21840,30360
"Warren Wilson College","North Carolina","NC","Private","4 Year",10.98,36.28,47260,36280,47260
"Wartburg College","Iowa","IA","Private","4 Year",9.996,41.28,51276,41280,51276
"Washburn University","Kansas","KS","Public","4 Year",8.237,8.87,17107,19940,28177
"Washington & Jefferson College","Pennsylvania","PA","Private","4 Year",12.676,47.964,60640,47964,60640
"Washington Adventist University","Maryland","MD","Private","4 Year",9.37,23.9,33270,23900,33270
"Washington and Lee University","Virginia","VA","Private","4 Year",13.925,52.455,66380,52455,66380
"Washington College","Maryland","MD","Private","4 Year",12.414,46.978,59392,46978,59392
"Washington County Community College","Maine","ME","Public","2 Year",5.34,3.618,8958,6438,11778
"Washington State University","Washington","WA","Public","4 Year",11.398,11.581,22979,26365,37763
"Washington University in St. Louis","Missouri","MO","Private","4 Year",16.44,53.399,69839,53399,69839
"Watkins College of Art, Design & Film","Tennessee","TN","Private","4 Year",6.75,24.45,31200,24450,31200
"Wayland Baptist University","Texas","TX","Private","4 Year",7.992,20.07,28062,20070,28062
"Wayne State College","Nebraska","NE","Public","4 Year",7.668,6.989,14657,12299,19967
"Wayne State University","Michigan","MI","Public","4 Year",10.427,13.347,23774,28241,38668
"Waynesburg University","Pennsylvania","PA","Private","4 Year",10.164,24.82,34984,24820,34984
"Weatherford College","Texas","TX","Public","2 Year",7.58,2.55,10130,5610,13190
"Webb Institute","New York","NY","Private","4 Year",15.05,50.175,65225,50175,65225
"Webber International University","Florida","FL","Private","4 Year",9.15,26.116,35266,26116,35266
"Weber State University","Utah","UT","Public","4 Year",6.279,5.831,12110,16585,22864
"Webster University","Missouri","MO","Private","4 Year",11.05,27.9,38950,27900,38950
"Welch College","Tennessee","TN","Private","4 Year",7.704,19.012,26716,19012,26716
"Wellesley College","Massachusetts","MA","Private","4 Year",16.468,53.732,70200,53732,70200
"Wells College","New York","NY","Private","4 Year",14.1,40.7,54800,40700,54800
"Wenatchee Valley College","Washington","WA","Public","2 Year",4.02,4.467,8487,4903,8923
"Wentworth Institute of Technology","Massachusetts","MA","Private","4 Year",14.19,33.95,48140,33950,48140
"Wentworth Military Junior College","Missouri","MO","Private","2 Year",6.8,20.9,27700,20900,27700
"Wesley College","Delaware","DE","Private","4 Year",11.717,26.406,38123,26406,38123
"Wesleyan College","Georgia","GA","Private","4 Year",9.86,23,32860,23000,32860
"Wesleyan University","Connecticut","CT","Private","4 Year",15.06,54.914,69974,54914,69974
"West Chester University of Pennsylvania","Pennsylvania","PA","Public","4 Year",9.716,10.412,20128,21986,31702
"West Hills College: Coalinga","California","CA","Public","2 Year",7.977,1.38,9357,11130,19107
"West Liberty University","West Virginia","WV","Public","4 Year",9.406,7.73,17136,15670,25076
"West Texas A&M University","Texas","TX","Public","4 Year",7.196,8.849,16045,10476,17672
"West Virginia State University","West Virginia","WV","Public","4 Year",11.892,8.167,20059,16072,27964
"West Virginia University","West Virginia","WV","Public","4 Year",10.918,8.856,19774,24950,35868
"West Virginia University Institute of Technology","West Virginia","WV","Public","4 Year",11.39,7.464,18854,18648,30038
"West Virginia Wesleyan College","West Virginia","WV","Private","4 Year",8.856,31.64,40496,31640,40496
"Western Carolina University","North Carolina","NC","Public","4 Year",9.682,4.22,13902,8220,17902
"Western Connecticut State University","Connecticut","CT","Public","4 Year",13.072,10.819,23891,22059,35131
"Western Illinois University","Illinois","IL","Public","4 Year",9.63,11.267,20897,11267,20897
"Western Iowa Tech Community College","Iowa","IA","Public","2 Year",5.65,5.34,10990,5370,11020
"Western Kentucky University","Kentucky","KY","Public","4 Year",8.343,10.602,18945,26496,34839
"Western Michigan University","Michigan","MI","Public","4 Year",10.143,12.483,22626,15373,25516
"Western Nebraska Community College","Nebraska","NE","Public","2 Year",6.766,2.82,9586,2928,9694
"Western New England University","Massachusetts","MA","Private","4 Year",13.59,36.804,50394,36804,50394
"Western New Mexico University","New Mexico","NM","Public","4 Year",9.136,6.824,15960,15231,24367
"Western Oklahoma State College","Oklahoma","OK","Public","2 Year",5.25,4.25,9500,8605,13855
"Western Oregon University","Oregon","OR","Public","4 Year",10.415,9.54,19955,26415,36830
"Western State Colorado University","Colorado","CO","Public","4 Year",9.635,10.114,19749,21586,31221
"Western Technical College","Wisconsin","WI","Public","2 Year",6.584,4.408,10992,6373,12957
"Western Texas College","Texas","TX","Public","2 Year",5.293,3.84,9133,6210,11503
"Western Washington University","Washington","WA","Public","4 Year",11.466,8.132,19598,23544,35010
"Western Wyoming Community College","Wyoming","WY","Public","2 Year",5.74,2.712,8452,7224,12964
"Westfield State University","Massachusetts","MA","Public","4 Year",10.948,10.429,21377,16509,27457
"Westminster College","Utah","UT","Private","4 Year",9.524,34.3,43824,34300,43824
"Westminster College","Pennsylvania","PA","Private","4 Year",11.13,36.806,47936,36806,47936
"Westminster College","Missouri","MO","Private","4 Year",10.14,27.6,37740,27600,37740
"Westmont College","California","CA","Private","4 Year",14.296,45.304,59600,45304,59600
"Wharton County Junior College","Texas","TX","Public","2 Year",4.2,3.03,7230,6120,10320
"Wheaton College","Massachusetts","MA","Private","4 Year",13.424,52.626,66050,52626,66050
"Wheaton College","Illinois","IL","Private","4 Year",10.18,36.42,46600,36420,46600
"Wheeling Jesuit University","West Virginia","WV","Private","4 Year",9.9,29.29,39190,29290,39190
"Whitman College","Washington","WA","Private","4 Year",13.174,51.764,64938,51764,64938
"Whittier College","California","CA","Private","4 Year",14.41,48.086,62496,48086,62496
"Whitworth University","Washington","WA","Private","4 Year",11.496,43.64,55136,43640,55136
"Wichita State University","Kansas","KS","Public","4 Year",11.252,8.271,19523,17452,28704
"Widener University","Pennsylvania","PA","Private","4 Year",14.446,45.948,60394,45948,60394
"Wilberforce University","Ohio","OH","Private","4 Year",7,13.25,20250,13250,20250
"Wiley College","Texas","TX","Private","4 Year",7.084,13.152,20236,13152,20236
"Wilkes University","Pennsylvania","PA","Private","4 Year",14.682,36.194,50876,36194,50876
"Willamette University","Oregon","OR","Private","4 Year",12.44,50.074,62514,50074,62514
"William Carey University","Mississippi","MS","Private","4 Year",6.81,12.6,19410,12600,19410
"William Jessup University","California","CA","Private","4 Year",11.32,32.95,44270,32950,44270
"William Jewell College","Missouri","MO","Private","4 Year",9.93,34.4,44330,34400,44330
"William Paterson University of New Jersey","New Jersey","NJ","Public","4 Year",11.445,13.06,24505,21260,32705
"William Peace University","North Carolina","NC","Private","4 Year",11.1,30.5,41600,30500,41600
"William Penn University","Iowa","IA","Private","4 Year",6.952,25.6,32552,25600,32552
"William Woods University","Missouri","MO","Private","4 Year",9.7,24.11,33810,24110,33810
"Williams Baptist University","Arkansas","AR","Private","4 Year",8.07,17.32,25390,17320,25390
"Williams College","Massachusetts","MA","Private","4 Year",14.5,55.45,69950,55450,69950
"Williston State College","North Dakota","ND","Public","2 Year",7.95,5.304,13254,5304,13254
"Wilmington College","Ohio","OH","Private","4 Year",9.925,25.675,35600,25675,35600
"Wilson College","Pennsylvania","PA","Private","4 Year",11.594,24.595,36189,24595,36189
"Wingate University","North Carolina","NC","Private","4 Year",10.78,33.166,43946,33166,43946
"Winona State University","Minnesota","MN","Public","4 Year",9.01,9.425,18435,15348,24358
"Winston-Salem State University","North Carolina","NC","Public","4 Year",9.55,5.814,15364,16061,25611
"Winthrop University","South Carolina","SC","Public","4 Year",9.312,15.59,24902,29846,39158
"Wisconsin Indianhead Technical College","Wisconsin","WI","Public","2 Year",7.408,4.404,11812,6450,13858
"Wisconsin Lutheran College","Wisconsin","WI","Private","4 Year",10.19,29.725,39915,29725,39915
"Wittenberg University","Ohio","OH","Private","4 Year",10.356,39.5,49856,39500,49856
"Wofford College","South Carolina","SC","Private","4 Year",12.685,43.845,56530,43845,56530
"Woodbury University","California","CA","Private","4 Year",11.92,39.855,51775,39855,51775
"Worcester Polytechnic Institute","Massachusetts","MA","Private","4 Year",14.774,50.53,65304,50530,65304
"Worcester State University","Massachusetts","MA","Public","4 Year",12.262,10.161,22423,16241,28503
"Wright State University","Ohio","OH","Public","4 Year",11.832,9.254,21086,18398,30230
"Xavier University","Ohio","OH","Private","4 Year",12.78,38.53,51310,38530,51310
"Xavier University of Louisiana","Louisiana","LA","Private","4 Year",9.047,24.488,33535,24488,33535
"Yale University","Connecticut","CT","Private","4 Year",16,53.43,69430,53430,69430
"Yavapai College","Arizona","AZ","Public","2 Year",9.698,2.61,12308,10980,20678
"Yeshiva and Kolel Bais Medrash Elyon","New York","NY","Private","4 Year",2.8,11.5,14300,11500,14300
"Yeshiva Beth Yehuda-Yeshiva Gedolah of Greater Detroit","Michigan","MI","Private","4 Year",4.2,6.8,11000,6800,11000
"Yeshiva College of the Nations Capital","Maryland","MD","Private","4 Year",10.4,10.2,20600,10200,20600
"Yeshiva D'Monsey Rabbinical College","New York","NY","Private","4 Year",2.25,7.9,10150,7900,10150
"Yeshiva Derech Chaim","New York","NY","Private","4 Year",3.8,12.1,15900,12100,15900
"Yeshiva Gedolah Rabbinical College","Florida","FL","Private","4 Year",8.5,8.3,16800,8300,16800
"Yeshiva Karlin Stolin","New York","NY","Private","4 Year",4,12,16000,12000,16000
"Yeshiva of Nitra","New York","NY","Private","4 Year",4.5,8.5,13000,8500,13000
"Yeshiva Ohr Elchonon Chabad/West Coast Talmudical Seminary","California","CA","Private","4 Year",8.7,14.3,23000,14300,23000
"Yeshiva Shaarei Torah of Rockland","New York","NY","Private","4 Year",3.5,12.5,16000,12500,16000
"Yeshiva University","New York","NY","Private","4 Year",12.25,43.5,55750,43500,55750
"Yeshivath Beth Moshe","Pennsylvania","PA","Private","4 Year",3.4,9,12400,9000,12400
"Yeshivath Viznitz","New York","NY","Private","4 Year",4.05,10,14050,10000,14050
"York College","Nebraska","NE","Private","4 Year",7.22,19.31,26530,19310,26530
"York College of Pennsylvania","Pennsylvania","PA","Private","4 Year",11.2,20.1,31300,20100,31300
"Young Harris College","Georgia","GA","Private","4 Year",12.372,29.117,41489,29117,41489
"Youngstown State University","Ohio","OH","Public","4 Year",9.4,8.95,18350,14950,24350
